region,type,n_gridpoints,mean_trend_degC_dec,median_trend_degC_dec,std_trend_degC_dec,frac_significant,frac_cooling,frac_warming
CP,meander,28054,0.21086916789714386,0.19994494318962097,0.12271363288164139,0.8273330006416197,0.053468311114279604,0.9465316888857204
PAR,meander,31049,0.004974387033874475,-0.009214317426085472,0.08234920352697372,0.11324036200843828,0.5637862733099295,0.4362137266900705
SEIR,meander,11895,0.15199043662035866,0.1369316428899765,0.10229167342185974,0.719630096679277,0.02841530054644809,0.9715846994535519
SWIR,meander,14698,0.06573330747127727,0.06933462619781494,0.08229371905326843,0.240440876309702,0.2143148727718057,0.7856851272281943
CTRL_SE_PAC,control,15360,0.005454206782964347,-0.00038744500488974154,0.039527036249637604,0.030859375,0.501953125,0.4979166666666667
CTRL_S_IND,control,15360,0.16337418413169397,0.15867283940315247,0.06102203205227852,0.8611979166666667,0.0,1.0
CTRL_S_ATL,control,17920,0.19238961217067904,0.19497057795524597,0.07856789231300354,0.9895647321428571,0.0,1.0
CTRL_CP_SEIR,control,10560,0.29436874980178485,0.2836872339248657,0.09837134182453156,0.9810606060606061,0.0,1.0
