region,type,n_gridpoints,mean_trend_degC_dec,median_trend_degC_dec,std_trend_degC_dec,frac_significant,frac_cooling,frac_warming
CP,meander,28054,0.2108691678971438,0.1999449431896209,0.1227136328816413,0.8273330006416197,0.0534683111142796,0.9465316888857204
PAR,meander,31049,0.0049743870338744,-0.0092143174260854,0.0823492035269737,0.1132403620084382,0.5637862733099295,0.4362137266900705
SEIR,meander,11895,0.1519904366203586,0.1369316428899765,0.1022916734218597,0.719630096679277,0.028415300546448,0.971584699453552
SWIR,meander,14698,0.0657333074712772,0.0693346261978149,0.0822937190532684,0.240440876309702,0.2143148727718057,0.7856851272281943
CTRL_SE_PAC,control,15360,0.0054542067829643,-0.0003874450048897,0.0395270362496376,0.030859375,0.501953125,0.4979166666666667
CTRL_S_IND,control,15360,0.1633741841316939,0.1586728394031524,0.0610220320522785,0.8611979166666667,0.0,1.0
CTRL_S_ATL,control,17920,0.192389612170679,0.1949705779552459,0.0785678923130035,0.9895647321428572,0.0,1.0
CTRL_CP_SEIR,control,10560,0.2943687498017848,0.2836872339248657,0.0983713418245315,0.981060606060606,0.0,1.0
