period,meander_mean,control_mean,difference
1993–2005,0.1222711293539084,0.09388501827168479,0.02838611108222361
2006–2015,0.31689631812627467,0.28431357960408776,0.032582738522186905
2016–2025,0.2648670536638028,0.22620543331107268,0.03866162035273013
